run_id,metric_name,birth_epoch,birth_checkpoint_id
baseline_seed0_curriculum_off_d64_l2,behavior_val_accuracy,12.0,best_val_epoch_012
baseline_seed0_curriculum_off_d64_l2,variable_query_key,12.0,best_val_epoch_012
baseline_seed0_curriculum_off_d64_l2,faithfulness_query_key,12.0,best_val_epoch_012
baseline_seed0_curriculum_off_d64_l2,variable_matching_slot,,
baseline_seed0_curriculum_off_d64_l2,faithfulness_matching_slot,57.0,scheduled_epoch_057
baseline_seed0_curriculum_off_d64_l2,variable_selected_value,15.0,scheduled_epoch_015
baseline_seed0_curriculum_off_d64_l2,faithfulness_selected_value,12.0,best_val_epoch_012
baseline_seed0_curriculum_off_d64_l2,operator_routing,122.0,scheduled_epoch_122
baseline_seed0_curriculum_off_d64_l2,operator_copy,93.0,scheduled_epoch_093
baseline_seed1_curriculum_off_d64_l2,behavior_val_accuracy,17.0,best_val_epoch_017
baseline_seed1_curriculum_off_d64_l2,variable_query_key,16.0,best_val_epoch_016
baseline_seed1_curriculum_off_d64_l2,faithfulness_query_key,17.0,best_val_epoch_017
baseline_seed1_curriculum_off_d64_l2,variable_matching_slot,,
baseline_seed1_curriculum_off_d64_l2,faithfulness_matching_slot,,
baseline_seed1_curriculum_off_d64_l2,variable_selected_value,17.0,best_val_epoch_017
baseline_seed1_curriculum_off_d64_l2,faithfulness_selected_value,19.0,scheduled_epoch_019
baseline_seed1_curriculum_off_d64_l2,operator_routing,17.0,best_val_epoch_017
baseline_seed1_curriculum_off_d64_l2,operator_copy,1.0,best_val_epoch_001
baseline_seed2_curriculum_off_d64_l2,behavior_val_accuracy,20.0,best_val_epoch_020
baseline_seed2_curriculum_off_d64_l2,variable_query_key,122.0,scheduled_epoch_122
baseline_seed2_curriculum_off_d64_l2,faithfulness_query_key,76.0,scheduled_epoch_076
baseline_seed2_curriculum_off_d64_l2,variable_matching_slot,,
baseline_seed2_curriculum_off_d64_l2,faithfulness_matching_slot,,
baseline_seed2_curriculum_off_d64_l2,variable_selected_value,131.0,scheduled_epoch_131
baseline_seed2_curriculum_off_d64_l2,faithfulness_selected_value,22.0,scheduled_epoch_022
baseline_seed2_curriculum_off_d64_l2,operator_routing,131.0,scheduled_epoch_131
baseline_seed2_curriculum_off_d64_l2,operator_copy,17.0,scheduled_epoch_017
